Best,Mean,Worst,Diversity
324.5881250694454,340.02983739258076,363.12193577452666,2580.510289643597
315.7774321505036,327.32661088179896,337.86486962979393,1324.3860627127026
314.90290189848145,321.1464618944511,327.4971763178035,777.1779815922428
314.3760048196515,318.8288755558006,324.5881250694454,673.9403175197624
313.9957176354497,317.0548909536269,324.5881250694454,678.598883951531
313.23594624360373,314.28260267601365,316.7767773599451,199.82878884016526
313.17922635236016,313.81065447133494,315.61171733479756,143.49361434655412
312.94755179749563,313.26592313974163,313.99113781421016,55.2856099797101
312.8618036168766,313.03601433285957,313.7520451720735,36.78029558847203
312.82371826978,312.91599730965794,313.35907296776674,18.743864723284275
312.82371826978,312.85542411677375,312.9589198888781,7.413703396489382
312.82371826978,312.828005678811,312.909466450399,1.629215431761395
312.82371826978,312.82371826978004,312.82371826978,0.0
