dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,6.067,121.333,898.6,5.8,93.333
wine,3421827.432,6.267,125.333,1007.833,7.0,80.0
connectionist,314.774,10.5,210.0,1698.867,7.9,33.333
seeds,624.257,5.3,106.0,988.167,8.1,83.333
heart,3347.196,12.867,257.333,2285.067,15.6,0.0
vertebral,559533.96,3.833,76.667,720.133,5.0,86.667
computers,320716.491,13.133,262.667,2611.2,32.6,3.333
gene,17808477.337,11.533,230.667,1701.833,578.7,26.667
movement-libras,381.747,22.8,456.0,3179.0,156.6,3.333
toxicity,4875920508130725.0,3.833,76.667,594.067,3.2,80.0
ECG5000,12734.758,16.2,324.0,3182.4,85.9,0.0
ecoli,15.624,17.167,343.333,3053.733,80.2,0.0
glass,90.721,16.1,322.0,2222.4,29.3,0.0
accent,29545.809,15.733,314.667,3082.167,64.4,0.0
