dataset,score,n_iter,n_ls,n_iter_ls,time(s),% pop collapsed
iris,84.756,2.733,54.667,326.267,2.1,86.667
wine,3421827.432,2.8,56.0,371.367,2.6,73.333
connectionist,314.774,5.233,104.667,666.8,3.2,40.0
seeds,624.257,2.333,46.667,356.0,2.8,83.333
heart,3347.196,6.667,133.333,973.567,6.8,0.0
vertebral,559533.96,1.867,37.333,282.633,1.9,86.667
computers,320716.486,6.9,138.0,992.367,12.6,10.0
gene,17808477.337,5.667,113.333,693.833,239.2,20.0
movement-libras,381.651,15.333,306.667,1596.633,80.5,0.0
toxicity,4925753246225918.0,1.533,30.667,213.367,1.2,86.667
ECG5000,12734.92,9.433,188.667,1291.2,35.4,0.0
ecoli,15.625,10.067,201.333,1414.233,37.7,0.0
glass,90.789,8.4,168.0,911.433,12.3,3.333
accent,29545.498,9.633,192.667,1547.967,33.1,0.0
