
DATA_PATH, n, d, k: ../datasets/wine.txt 178 13 3
CONSTRAINTS_PATH: ../constraints/wine/ml_50_cl_50_3.txt
LOG_PATH: ../PRUEBAS/wine/log_wine_ml_50_cl_50_3.txt

BRANCH_AND_BOUND_TOL: 0.0001
BRANCH_AND_BOUND_PARALLEL: 16
BRANCH_AND_BOUND_MAX_NODES: 200
BRANCH_AND_BOUND_VISITING_STRATEGY: 0

SDP_SOLVER_SESSION_THREADS_ROOT: 16
SDP_SOLVER_SESSION_THREADS: 1
SDP_SOLVER_FOLDER: /home/teresa/SDPNAL/SDPNAL+v1.0
SDP_SOLVER_TOL: 1e-05
SDP_SOLVER_VERBOSE: 0
SDP_SOLVER_MAX_CP_ITER_ROOT: 80
SDP_SOLVER_MAX_CP_ITER: 40
SDP_SOLVER_CP_TOL: 1e-06
SDP_SOLVER_MAX_INEQ: 100000
SDP_SOLVER_INHERIT_PERC: 1
SDP_SOLVER_EPS_INEQ: 0.0001
SDP_SOLVER_EPS_ACTIVE: 1e-06
SDP_SOLVER_MAX_PAIR_INEQ: 100000
SDP_SOLVER_PAIR_PERC: 0.05
SDP_SOLVER_MAX_TRIANGLE_INEQ: 100000
SDP_SOLVER_TRIANGLE_PERC: 0.05


|    N| NODE_PAR|    NODE|      LB_PAR|          LB|  FLAG|  TIME (s)| CP_ITER| CP_FLAG|   CP_INEQ|     PAIR  TRIANGLE    CLIQUE|          UB|         GUB|     I      J|     NODE_GAP|          GAP|  OPEN|
|  128|       -1|       0|        -inf| 4.03558e+06|     0|        25|       3|       0|      8517|      549      5000   16.6667| 4.03569e+06|4.03569e+06*|    -1     -1|  2.52723e-05|  2.52723e-05|     0|

WALL_TIME: 27 sec
N_NODES: 1
AVG_INEQ: 5565.67
AVG_CP_ITER: 3
ROOT_GAP: 2.52723e-05
GAP: 0
BEST: 4.03569e+06

