||        dataset |          score |         n_iter |           n_ls |      n_iter_ls |        time(s) |% pop collapsed ||
||           iris |         84.756 |          2.033 |         60.667 |        303.567 |          9.388 |         93.333 ||
||           wine |    3421827.432 |            2.0 |           60.0 |          324.3 |         11.452 |         76.667 ||
||  connectionist |        314.774 |          3.467 |         89.333 |        573.867 |         13.123 |         43.333 ||
||          seeds |        624.257 |          1.833 |         56.667 |        335.367 |         12.946 |           90.0 ||
||          heart |       3347.196 |         15.867 |        317.333 |         3359.2 |         22.748 |            0.0 ||
||      vertebral |      559533.96 |          1.267 |         45.333 |        241.233 |          8.062 |           90.0 ||
||      computers |     320716.491 |          3.967 |         99.333 |        814.433 |         52.487 |           10.0 ||
||           gene |   17808477.337 |         14.933 |        298.667 |         2492.5 |        832.771 |         13.333 ||
||movement-libras |        381.634 |            4.3 |          106.0 |        824.533 |         238.76 |            0.0 ||
||       toxicity |4875920508130725.0 |          1.333 |         46.667 |        198.167 |          5.297 |           90.0 ||
||        ECG5000 |      12734.671 |            4.1 |          102.0 |        930.833 |         135.76 |            0.0 ||
||          ecoli |         15.623 |            4.1 |          102.0 |        882.533 |        125.919 |            0.0 ||
||          glass |         90.722 |            4.0 |          100.0 |        657.767 |         46.654 |            0.0 ||
||         accent |      29545.591 |           18.3 |          366.0 |       4436.367 |         93.141 |            0.0 ||
